,AEX,ATX,BEL 20,BIST 100,Bovespa,BSE Sensex 30,Budapest SE,CAC 40,CBOE Volatility Index,COLCAP,CSE All-Share,DAX,Dow Jones Industrial Average,Dow Jones Shanghai,Euro Stoxx 50,FTSE 100,FTSE China A50,FTSE MIB,Hang Seng,HNX 30,IBEX 35,IDX Composite,KOSPI,MOEX Russia,NASDAQ Composite,Nifty 50,Nikkei 225,OMX Stockholm 30,PSI 20,RTSI,Russell 2000,S&P 500,S&P CLX IPSA,S&P Lima General,S&P Merval,S&P_ASX 200,S&P_BMV INMEX,S&P_BMV IPC CompMx,S&P_BMV IPC,S&P_TSX,Shanghai Composite,SMI,SZSE Component,TA 35,Tadawul,Taiwan Weighted,WIG20
AEX,0,0.48922642,0.276786677,0,0.732410141,0,0.552456842,0.227034121,1.8970296,0,0,0.298059309,0.437510904,0,0.196194489,0.366983767,0,0.192114765,0,0,0.250949928,0.982349771,0,0,0.567341261,0,0,0.335381099,0.388602266,0.849426041,0.636631484,0.520810491,0.879040204,0.827839011,0,0,0.795254582,0.804211979,0.807941232,0.757766619,0,0.220481831,0,0,0,0,0.630061404
ATX,0.48922642,0,0.413605707,0,0.742730073,0,0.513564821,0.525467041,1.791250255,0,0,0.415889182,0.712032295,0,0.468131748,0.516880513,0,0.420202525,0,0,0.441875533,0.739122545,0,0,0.872255056,0,0,0.516108995,0.510153724,0.930204679,0.810564698,0.823605916,0.571785514,0.752812214,0,0.86879669,0.876714333,0.910017088,0.914893593,0,0,0.55561754,0,0,0,0,0.573303983
BEL 20,0.276786677,0.413605707,0,0,0.654052379,0,0.534617689,0.185969199,1.908488217,0,0,0.320861157,0.419209332,0,0.218069158,0.480252834,0,0.21127061,0,0,0.243951688,0.905171336,0,0,0.570731329,0,0,0.439934407,0.45374015,0.823082139,0.601412573,0.512621475,0.786780298,0.786840872,0,0,0.727330593,0.750672334,0.755786132,0.741773752,0,0.282500124,0,0,0,0,0.662564415
BIST 100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.869412446,0,0,0,0,0,0,0,0,0,0,0.658311449,0,0
Bovespa,0.732410141,0.742730073,0.654052379,0,0,0,0.636565236,0.673363102,1.882015659,0,0,0.662515029,0.54797336,0,0.675790696,0.747380999,0,0.710368266,0,0.928744354,0.75868374,0.637311522,0,0,0.654075507,0,0,0.883774577,0.844578572,0,0.794102413,0.593670712,0.955658831,0.916370753,0,0,0.631029419,0.689250733,0.686417031,0.855172959,0,0.844511795,0,0,0,0,0.6714735
BSE Sensex 30,0,0,0,0,0,0,0,0,0,0,0.93709664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080586122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.788410831,0
Budapest SE,0.552456842,0.513564821,0.534617689,0,0.636565236,0,0,0.625353713,1.876053786,0.905834069,0,0.445210305,0.581906735,0,0.55054931,0.700170859,0,0.598243223,0,0,0.66291519,0.717410617,0,0,0.695235717,0,0,0.709250171,0.728651595,0,0.562164923,0.6714817,0.637439564,0.600774687,0,0,0.896105881,0.905982547,0.909371767,0.844410891,0,0.639844034,0,0,0,0,0.487377986
CAC 40,0.227034121,0.525467041,0.185969199,0,0.673363102,0,0.625353713,0,1.916725393,0,0,0.322632734,0.402183395,0,0.139779694,0.467043494,0,0.176314771,0,0,0.190249973,0.973815878,0,0,0.525668593,0,0,0.401184151,0.41778557,0.852383695,0.625813667,0.473671489,0.934266301,0.884678086,0,0,0.758366127,0.777376017,0.781942095,0.717741815,0,0.232358421,0,0,0,0,0.710232208
CBOE Volatility Index,1.8970296,1.791250255,1.908488217,0,1.882015659,0,1.876053786,1.916725393,0,0,0,1.896908911,1.979974008,0,1.912500102,1.799105871,0,1.881317293,0,0,1.876573618,0,0,0,1.989875838,0,0,1.799596925,1.861092486,0,1.976440972,1.988444247,0,1.789281921,0,0,1.8732086,1.880407648,1.879489621,1.930118201,0,1.906142255,0,0,0,0.844627004,1.766253178
COLCAP,0,0,0,0,0,0,0.905834069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
