"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"11.10.2019","15.58","17.35","17.44","15.11","-","-11.33%"
"10.10.2019","17.57","19.28","19.80","17.56","-","-5.74%"
"09.10.2019","18.64","19.94","20.00","17.77","-","-8.09%"
"08.10.2019","20.28","17.61","20.38","17.42","-","13.55%"
"07.10.2019","17.86","18.27","18.52","16.44","-","4.81%"
"04.10.2019","17.04","19.42","19.97","16.97","-","-10.88%"
"03.10.2019","19.12","20.11","21.44","19.03","-","-7.00%"
"02.10.2019","20.56","18.75","21.46","18.75","-","10.78%"
"01.10.2019","18.56","16.02","18.62","15.79","-","14.29%"
"30.09.2019","16.24","17.23","17.35","16.20","-","-5.69%"
"27.09.2019","17.22","15.77","18.69","15.15","-","7.16%"
"26.09.2019","16.07","16.23","17.09","15.35","-","0.69%"
"25.09.2019","15.96","17.05","18.45","15.69","-","-6.39%"
"24.09.2019","17.05","14.77","17.62","14.33","-","14.35%"
"23.09.2019","14.91","15.35","16.00","14.71","-","-2.68%"
"20.09.2019","15.32","13.94","15.84","13.35","-","9.04%"
"19.09.2019","14.05","14.66","14.66","13.31","-","0.72%"
"18.09.2019","13.95","14.61","15.80","13.80","-","-3.39%"
"17.09.2019","14.44","14.92","15.03","14.40","-","-1.57%"
"16.09.2019","14.67","14.89","15.29","14.50","-","6.77%"
"13.09.2019","13.74","14.16","14.31","13.51","-","-3.38%"
"12.09.2019","14.22","14.69","14.94","13.85","-","-2.67%"
"11.09.2019","14.61","15.33","15.52","14.55","-","-3.88%"
"10.09.2019","15.20","15.53","16.52","15.11","-","-0.46%"
"09.09.2019","15.27","15.26","16.13","14.95","-","1.80%"
"06.09.2019","15.00","15.92","16.06","14.91","-","-7.81%"
"05.09.2019","16.27","16.92","17.05","15.45","-","-6.12%"
"04.09.2019","17.33","18.23","18.83","17.26","-","-11.85%"
"03.09.2019","19.66","20.96","21.15","19.41","-","3.58%"
"30.08.2019","18.98","17.94","19.18","17.09","-","6.15%"
"29.08.2019","17.88","19.02","19.20","17.60","-","-7.60%"
"28.08.2019","19.35","20.55","21.64","19.10","-","-4.73%"
"27.08.2019","20.31","20.18","21.04","18.49","-","5.12%"
"26.08.2019","19.32","20.34","21.33","19.06","-","-2.77%"
"23.08.2019","19.87","16.15","21.07","16.04","-","19.12%"
"22.08.2019","16.68","16.12","17.68","15.63","-","5.57%"
"21.08.2019","15.80","17.01","17.04","15.51","-","-9.71%"
"20.08.2019","17.50","16.78","17.70","16.45","-","3.67%"
"19.08.2019","16.88","17.93","18.22","16.52","-","-8.61%"
"16.08.2019","18.47","20.48","20.50","18.41","-","-12.80%"
"15.08.2019","21.18","21.58","24.10","20.78","-","-4.16%"
"14.08.2019","22.10","17.81","22.71","17.75","-","26.14%"
"13.08.2019","17.52","21.28","21.64","17.52","-","-16.93%"
"12.08.2019","21.09","17.87","21.26","17.77","-","17.36%"
"09.08.2019","17.97","18.14","19.44","17.31","-","6.27%"
"08.08.2019","16.91","19.36","19.89","16.82","-","-13.24%"
"07.08.2019","19.49","20.70","23.67","18.94","-","-3.37%"
"06.08.2019","20.17","22.29","22.87","19.77","-","-17.97%"
"05.08.2019","24.59","19.96","24.81","19.91","-","39.64%"
"02.08.2019","17.61","17.69","20.11","17.04","-","-1.45%"
"01.08.2019","17.87","15.41","19.46","13.73","-","10.86%"
"31.07.2019","16.12","13.83","16.55","13.46","-","15.64%"
"30.07.2019","13.94","12.87","14.18","12.87","-","8.65%"
