"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"11.10.2019","427.36","423.52","428.43","422.80","-","0.91%"
"10.10.2019","423.52","420.22","423.74","419.34","-","0.79%"
"09.10.2019","420.22","418.64","420.24","415.56","-","0.38%"
"08.10.2019","418.63","416.89","421.45","416.89","-","0.42%"
"07.10.2019","416.89","421.16","421.66","416.89","-","0.00%"
"04.10.2019","416.89","421.16","421.66","416.89","-","0.00%"
"03.10.2019","416.89","421.16","421.66","416.89","-","0.00%"
"02.10.2019","416.89","421.16","421.66","416.89","-","0.00%"
"01.10.2019","416.89","421.16","421.66","416.89","-","0.00%"
"30.09.2019","416.89","421.16","421.66","416.89","-","-1.01%"
"27.09.2019","421.16","420.57","422.08","419.61","-","0.14%"
"26.09.2019","420.57","424.32","426.50","420.50","-","-0.88%"
"25.09.2019","424.31","428.21","428.21","424.31","-","-0.91%"
"24.09.2019","428.21","427.08","431.02","426.64","-","0.26%"
"23.09.2019","427.08","431.73","431.73","424.68","-","-1.08%"
"20.09.2019","431.73","430.88","432.48","430.40","-","0.20%"
"19.09.2019","430.88","429.36","430.88","427.82","-","0.35%"
"18.09.2019","429.36","428.14","431.05","428.14","-","0.28%"
"17.09.2019","428.14","435.94","435.94","427.00","-","-1.79%"
"16.09.2019","435.94","437.09","438.27","434.49","-","-0.27%"
"13.09.2019","437.10","432.98","437.37","432.76","-","0.00%"
"12.09.2019","437.10","432.98","437.37","432.76","-","0.95%"
"11.09.2019","432.98","434.56","436.19","432.22","-","-0.36%"
"10.09.2019","434.56","435.72","436.11","432.29","-","-0.27%"
"09.09.2019","435.72","432.53","436.51","432.53","-","0.74%"
"06.09.2019","432.54","430.30","432.54","429.92","-","0.52%"
"05.09.2019","430.29","425.86","435.07","425.86","-","1.04%"
"04.09.2019","425.87","421.77","425.87","421.18","-","0.97%"
"03.09.2019","421.77","421.31","422.21","419.75","-","0.11%"
"02.09.2019","421.31","415.76","422.04","415.42","-","1.33%"
"30.08.2019","415.76","416.17","419.92","413.80","-","-0.10%"
"29.08.2019","416.17","417.16","417.80","414.60","-","-0.23%"
"28.08.2019","417.15","418.77","419.25","416.20","-","-0.39%"
"27.08.2019","418.77","413.85","421.93","413.85","-","1.19%"
"26.08.2019","413.85","419.47","419.47","412.40","-","-1.34%"
"23.08.2019","419.46","416.57","420.21","415.92","-","0.70%"
"22.08.2019","416.56","415.71","416.98","414.17","-","0.20%"
"21.08.2019","415.71","415.78","416.58","414.65","-","-0.02%"
"20.08.2019","415.78","416.22","417.32","415.00","-","-0.11%"
"19.08.2019","416.22","407.20","416.22","407.20","-","2.22%"
"16.08.2019","407.20","405.76","409.74","405.00","-","0.35%"
"15.08.2019","405.76","404.48","405.76","396.86","-","0.32%"
"14.08.2019","404.48","403.13","407.96","403.13","-","0.33%"
"13.08.2019","403.13","406.33","406.33","402.24","-","-0.79%"
"12.08.2019","406.33","400.10","406.33","400.10","-","1.56%"
"09.08.2019","400.10","403.40","405.56","399.51","-","-0.82%"
"08.08.2019","403.40","398.98","404.04","398.98","-","1.11%"
"07.08.2019","398.97","400.37","402.63","398.97","-","-0.35%"
"06.08.2019","400.37","406.65","406.65","394.04","-","-1.54%"
"05.08.2019","406.64","413.62","413.62","406.63","-","-1.69%"
"02.08.2019","413.62","419.63","419.63","411.40","-","-1.43%"
"01.08.2019","419.63","423.25","423.25","418.57","-","-0.86%"
"31.07.2019","423.25","426.72","426.72","422.60","-","-0.81%"
"30.07.2019","426.72","424.92","428.88","424.92","-","0.42%"
"29.07.2019","424.92","425.81","426.19","423.71","-","-0.21%"
"26.07.2019","425.81","424.61","426.25","422.74","-","0.28%"
"25.07.2019","424.61","421.97","424.61","421.38","-","0.62%"
"24.07.2019","421.98","418.46","424.19","418.46","-","0.84%"
"23.07.2019","418.47","416.76","418.72","416.36","-","0.41%"
"22.07.2019","416.76","422.09","422.61","415.95","-","-1.26%"
"19.07.2019","422.09","417.90","424.27","417.90","-","1.00%"
"18.07.2019","417.90","422.09","422.09","417.90","-","-0.99%"
"17.07.2019","422.09","422.86","423.88","420.94","-","-0.18%"
