"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"11.10.2019","1,329.63","1,330.97","1,341.70","1,328.41","-","-0.10%"
"10.10.2019","1,330.92","1,315.34","1,330.92","1,310.39","-","1.02%"
"09.10.2019","1,317.48","1,306.81","1,321.83","1,306.26","-","0.85%"
"08.10.2019","1,306.39","1,319.14","1,324.76","1,303.64","-","-1.05%"
"07.10.2019","1,320.25","1,313.90","1,322.26","1,305.05","-","0.66%"
"04.10.2019","1,311.65","1,309.73","1,319.88","1,309.15","-","0.36%"
"03.10.2019","1,307.01","1,313.97","1,317.66","1,300.45","-","-0.51%"
"02.10.2019","1,313.75","1,330.69","1,331.50","1,311.03","-","-1.17%"
"01.10.2019","1,329.37","1,335.64","1,346.70","1,328.84","-","-0.34%"
"30.09.2019","1,333.91","1,344.13","1,348.02","1,331.95","-","-1.02%"
"27.09.2019","1,347.72","1,360.21","1,360.58","1,347.69","-","-0.87%"
"26.09.2019","1,359.59","1,353.18","1,363.20","1,350.05","-","0.41%"
"25.09.2019","1,354.01","1,353.39","1,354.01","1,340.19","-","-0.35%"
"24.09.2019","1,358.80","1,374.41","1,379.42","1,355.88","-","-1.07%"
"23.09.2019","1,373.49","1,374.36","1,375.32","1,363.69","-","-0.28%"
"20.09.2019","1,377.38","1,376.21","1,379.41","1,368.43","-","-0.05%"
"19.09.2019","1,378.06","1,382.32","1,386.99","1,373.15","-","-0.30%"
"18.09.2019","1,382.16","1,379.67","1,382.47","1,375.20","-","0.05%"
"17.09.2019","1,381.50","1,393.30","1,399.36","1,374.40","-","-1.05%"
"16.09.2019","1,396.09","1,376.21","1,396.25","1,375.57","-","1.98%"
"13.09.2019","1,368.93","1,360.97","1,370.77","1,359.46","-","0.58%"
"12.09.2019","1,361.05","1,354.56","1,364.76","1,349.59","-","0.47%"
"11.09.2019","1,354.68","1,342.55","1,358.67","1,339.11","-","0.80%"
"10.09.2019","1,343.95","1,338.65","1,343.95","1,330.38","-","0.28%"
"09.09.2019","1,340.14","1,343.16","1,349.90","1,336.73","-","-0.03%"
"06.09.2019","1,340.52","1,334.57","1,342.50","1,328.02","-","0.19%"
"05.09.2019","1,337.92","1,332.36","1,344.75","1,332.36","-","0.54%"
"04.09.2019","1,330.77","1,315.10","1,332.73","1,315.10","-","2.09%"
