"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"11.10.2019","31,798.11","31,751.84","32,285.91","31,751.84","-","0.17%"
"10.10.2019","31,743.20","30,338.17","31,761.66","30,338.17","-","4.63%"
"09.10.2019","30,338.17","30,257.26","30,433.72","29,903.02","-","0.27%"
"08.10.2019","30,257.26","30,940.87","30,950.92","30,057.92","-","-2.21%"
"07.10.2019","30,940.87","31,921.82","32,288.46","30,922.43","-","-2.75%"
"04.10.2019","31,816.50","30,365.90","31,850.26","30,321.98","-","4.78%"
"03.10.2019","30,365.90","30,792.05","30,969.17","30,346.35","-","-1.38%"
"02.10.2019","30,792.05","30,066.13","30,895.25","29,855.61","-","2.41%"
"01.10.2019","30,066.13","29,066.96","30,147.52","29,066.96","-","3.44%"
"30.09.2019","29,066.96","28,877.51","29,131.46","28,297.42","-","0.66%"
"27.09.2019","28,877.51","28,168.02","28,953.28","28,168.02","-","2.52%"
"26.09.2019","28,168.02","28,212.41","28,705.26","27,945.59","-","-0.16%"
"25.09.2019","28,212.41","27,819.80","28,313.18","27,219.99","-","1.41%"
"24.09.2019","27,819.80","29,094.70","29,094.70","27,627.02","-","-4.57%"
"23.09.2019","29,152.05","30,060.46","30,060.46","28,656.45","-","-3.02%"
"20.09.2019","30,060.46","30,414.40","30,627.87","29,891.67","-","-1.16%"
"19.09.2019","30,414.40","30,071.10","30,465.95","29,525.17","-","1.14%"
"18.09.2019","30,071.10","30,150.65","30,398.60","29,534.34","-","-0.26%"
"17.09.2019","30,150.65","30,561.27","30,561.27","29,665.26","-","-1.34%"
"16.09.2019","30,561.27","30,136.38","31,558.15","30,136.38","-","1.41%"
"13.09.2019","30,136.28","29,114.77","30,362.27","28,995.75","-","3.51%"
"12.09.2019","29,114.77","28,617.92","29,162.90","28,381.70","-","1.74%"
"11.09.2019","28,617.92","28,432.16","28,786.66","28,065.52","-","0.65%"
"10.09.2019","28,432.16","27,176.41","28,465.72","27,176.41","-","4.62%"
"09.09.2019","27,176.41","27,923.05","28,341.95","26,824.42","-","-1.75%"
"06.09.2019","27,659.66","26,932.14","28,044.33","26,932.14","-","2.70%"
"05.09.2019","26,932.14","24,664.55","27,060.28","24,664.55","-","9.19%"
"04.09.2019","24,664.55","23,079.32","24,992.84","23,079.32","-","6.87%"
"03.09.2019","23,079.32","26,195.41","26,234.30","22,484.40","-","-11.90%"
"02.09.2019","26,195.41","24,608.56","26,255.65","24,539.55","-","6.45%"
"30.08.2019","24,608.56","23,984.83","25,271.94","23,948.22","-","2.60%"
"29.08.2019","23,984.83","25,458.04","25,458.04","23,861.87","-","-5.79%"
"28.08.2019","25,458.04","24,622.47","25,582.50","24,602.40","-","3.39%"
"27.08.2019","24,622.47","25,848.26","25,848.26","24,535.14","-","-4.74%"
"26.08.2019","25,848.26","26,585.97","26,773.31","25,832.25","-","-2.77%"
"23.08.2019","26,585.97","27,982.96","28,050.76","26,513.36","-","-4.99%"
"22.08.2019","27,982.96","27,977.74","28,444.72","27,891.14","-","0.02%"
"21.08.2019","27,977.74","27,230.62","28,053.94","27,230.62","-","2.74%"
"20.08.2019","27,230.62","30,406.65","30,406.65","27,074.14","-","-10.45%"
"16.08.2019","30,406.65","31,039.31","31,899.64","30,214.44","-","-2.04%"
"15.08.2019","31,039.31","29,920.69","31,688.06","29,915.56","-","3.74%"
"14.08.2019","29,920.69","30,393.13","30,993.99","28,917.01","-","-1.40%"
"13.08.2019","30,344.56","27,530.80","31,011.00","27,530.80","-","10.22%"
"12.08.2019","27,530.80","44,355.20","44,355.20","27,450.34","-","-37.93%"
"09.08.2019","44,355.09","41,093.45","44,470.76","41,093.45","-","7.94%"
"08.08.2019","41,093.45","40,949.34","41,623.30","40,845.37","-","0.35%"
"07.08.2019","40,949.34","41,317.03","41,355.15","40,496.08","-","-0.89%"
"06.08.2019","41,317.03","40,873.35","41,377.71","40,804.40","-","1.09%"
"05.08.2019","40,873.35","41,359.15","41,359.15","40,470.87","-","-1.17%"
"02.08.2019","41,359.15","41,410.98","41,651.40","40,572.68","-","-0.13%"
"01.08.2019","41,410.98","42,057.77","42,492.78","41,220.28","-","-1.54%"
"31.07.2019","42,057.77","42,463.24","42,722.32","41,804.62","-","-0.95%"
"30.07.2019","42,463.24","42,785.46","42,836.75","42,417.96","-","-0.75%"
"29.07.2019","42,785.46","41,983.74","43,069.98","41,743.16","-","1.91%"
"26.07.2019","41,983.74","39,884.35","42,105.66","39,884.35","-","5.26%"
"25.07.2019","39,884.35","39,784.91","40,053.49","39,425.46","-","0.25%"
"24.07.2019","39,784.91","39,203.87","39,947.37","39,203.87","-","1.48%"
"23.07.2019","39,203.87","38,729.98","39,254.38","38,548.23","-","1.22%"
"22.07.2019","38,729.98","40,161.60","40,176.06","38,729.98","-","-3.56%"
"19.07.2019","40,161.60","40,752.75","40,883.63","40,097.31","-","-1.45%"
"18.07.2019","40,752.75","41,451.31","41,637.24","39,944.34","-","-1.69%"
"17.07.2019","41,451.31","41,788.26","42,066.89","41,396.28","-","-0.81%"
"16.07.2019","41,788.26","41,256.60","42,246.98","41,256.60","-","1.29%"
"15.07.2019","41,256.60","42,753.20","42,881.72","41,233.56","-","-3.50%"
"12.07.2019","42,753.10","42,856.29","43,165.63","42,660.53","-","-0.24%"
"11.07.2019","42,856.29","42,807.08","43,292.62","42,744.41","-","0.11%"
"10.07.2019","42,807.08","41,797.54","42,848.59","41,751.61","-","2.52%"
"05.07.2019","41,755.69","41,428.50","41,943.40","41,380.91","-","0.91%"
"04.07.2019","41,380.38","41,304.34","41,505.12","41,176.06","-","0.18%"
"03.07.2019","41,304.34","41,793.13","42,104.18","41,261.95","-","-1.17%"
"02.07.2019","41,793.13","41,507.48","42,126.14","41,506.78","-","0.69%"
"01.07.2019","41,507.48","41,796.36","42,144.09","41,380.04","-","-0.69%"
"28.06.2019","41,796.36","41,128.41","41,835.48","41,050.40","-","1.62%"
"27.06.2019","41,128.41","39,916.77","41,393.01","39,895.02","-","3.04%"
