"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"11.10.2019","2,528.03","2,516.90","2,543.26","2,514.13","130.21M","0.79%"
"10.10.2019","2,508.22","2,481.47","2,513.05","2,477.91","197.09M","1.19%"
"09.10.2019","2,478.76","2,480.11","2,494.97","2,476.23","115.95M","0.09%"
"08.10.2019","2,476.46","2,491.91","2,494.76","2,474.33","139.66M","-0.75%"
"07.10.2019","2,495.24","2,523.74","2,523.88","2,492.69","82.03M","-1.16%"
"04.10.2019","2,524.58","2,466.06","2,525.90","2,464.70","109.72M","2.40%"
"03.10.2019","2,465.44","2,452.98","2,469.11","2,449.16","84.88M","0.43%"
"02.10.2019","2,454.91","2,492.88","2,492.88","2,450.09","107.35M","-1.88%"
"01.10.2019","2,501.92","2,505.78","2,512.80","2,496.82","102.68M","-0.17%"
"30.09.2019","2,506.09","2,492.38","2,519.35","2,492.38","165.27M","0.30%"
"27.09.2019","2,498.48","2,506.79","2,507.64","2,493.23","93.63M","-0.20%"
"26.09.2019","2,503.51","2,512.03","2,521.07","2,494.85","134.89M","-0.23%"
"25.09.2019","2,509.36","2,513.30","2,513.30","2,480.85","170.11M","-0.14%"
"24.09.2019","2,512.95","2,539.72","2,540.84","2,511.52","123.20M","-1.07%"
"23.09.2019","2,540.09","2,536.06","2,542.15","2,533.65","86.57M","-0.03%"
"20.09.2019","2,540.94","2,512.08","2,545.61","2,508.70","765.96M","1.29%"
"19.09.2019","2,508.57","2,517.99","2,519.57","2,507.73","100.15M","-0.29%"
"18.09.2019","2,515.84","2,535.95","2,539.94","2,505.84","131.70M","-0.91%"
"17.09.2019","2,539.05","2,498.62","2,540.75","2,493.75","185.97M","1.56%"
"13.09.2019","2,500.01","2,493.70","2,508.87","2,489.86","94.89M","0.38%"
"12.09.2019","2,490.50","2,497.55","2,509.20","2,483.56","128.28M","-0.17%"
"11.09.2019","2,494.85","2,490.41","2,498.19","2,480.96","122.43M","0.21%"
"10.09.2019","2,489.63","2,487.14","2,504.13","2,474.11","134.92M","-0.04%"
"09.09.2019","2,490.63","2,500.87","2,525.96","2,483.76","92.49M","-0.16%"
"06.09.2019","2,494.57","2,505.60","2,515.99","2,489.01","106.61M","-0.10%"
"05.09.2019","2,497.01","2,481.98","2,499.80","2,481.98","137.28M","1.12%"
"04.09.2019","2,469.46","2,439.37","2,470.89","2,437.89","311.13M","1.50%"
"03.09.2019","2,433.03","2,458.84","2,459.08","2,425.29","213.62M","-0.79%"
"02.09.2019","2,452.45","2,487.72","2,487.72","2,447.82","38.70M","-1.44%"
"30.08.2019","2,488.25","2,451.87","2,491.70","2,445.00","312.96M","1.95%"
"29.08.2019","2,440.67","2,388.51","2,449.40","2,388.51","198.60M","2.43%"
"28.08.2019","2,382.77","2,362.78","2,389.98","2,358.98","145.93M","0.84%"
"27.08.2019","2,362.83","2,330.11","2,367.60","2,330.11","529.51M","1.47%"
"26.08.2019","2,328.56","2,317.55","2,330.44","2,314.81","120.98M","0.58%"
"23.08.2019","2,315.12","2,323.18","2,337.00","2,310.50","132.77M","-0.77%"
"22.08.2019","2,332.99","2,330.51","2,347.52","2,327.03","159.97M","0.11%"
"21.08.2019","2,330.46","2,311.53","2,333.68","2,307.77","248.57M","1.09%"
"20.08.2019","2,305.35","2,292.86","2,313.25","2,287.35","181.02M","0.54%"
"19.08.2019","2,293.00","2,284.31","2,311.45","2,284.31","185.38M","0.55%"
"16.08.2019","2,280.39","2,242.78","2,282.16","2,242.04","224.39M","1.83%"
"15.08.2019","2,239.42","2,239.99","2,253.82","2,222.37","152.77M","-0.09%"
"14.08.2019","2,241.40","2,285.76","2,285.76","2,237.43","272.80M","-2.31%"
"13.08.2019","2,294.30","2,308.72","2,324.04","2,292.27","146.12M","-0.81%"
"12.08.2019","2,313.01","2,343.07","2,344.47","2,310.33","126.67M","-1.56%"
"09.08.2019","2,349.75","2,353.93","2,355.80","2,333.25","105.84M","-0.11%"
"08.08.2019","2,352.39","2,356.40","2,366.97","2,349.01","157.57M","-0.04%"
"07.08.2019","2,353.24","2,305.42","2,355.17","2,300.40","193.93M","1.47%"
"06.08.2019","2,319.18","2,310.31","2,335.46","2,303.74","172.42M","0.56%"
"05.08.2019","2,306.19","2,330.67","2,330.67","2,296.17","197.25M","-1.52%"
"02.08.2019","2,341.76","2,359.58","2,360.02","2,325.06","152.89M","-1.21%"
"01.08.2019","2,370.35","2,403.06","2,413.57","2,368.36","156.59M","-1.49%"
"31.07.2019","2,406.21","2,414.89","2,414.89","2,387.61","201.88M","-0.59%"
"30.07.2019","2,420.43","2,421.93","2,426.31","2,403.52","90.95M","-0.17%"
"29.07.2019","2,424.46","2,390.44","2,433.41","2,390.44","106.29M","1.35%"
"26.07.2019","2,392.20","2,407.72","2,418.50","2,389.46","127.46M","-0.70%"
"25.07.2019","2,409.09","2,413.36","2,415.84","2,395.45","140.90M","-0.34%"
"24.07.2019","2,417.42","2,398.61","2,419.88","2,396.87","131.36M","0.83%"
"23.07.2019","2,397.46","2,413.29","2,422.16","2,388.96","182.69M","-0.66%"
"22.07.2019","2,413.38","2,443.13","2,444.96","2,412.02","85.89M","-0.90%"
"19.07.2019","2,435.26","2,435.68","2,456.37","2,432.25","125.12M","0.16%"
"18.07.2019","2,431.49","2,490.00","2,490.00","2,421.86","158.88M","-2.38%"
"17.07.2019","2,490.84","2,526.55","2,527.16","2,487.30","144.08M","-1.25%"
"16.07.2019","2,522.36","2,529.67","2,533.52","2,506.87","86.93M","-0.24%"
"15.07.2019","2,528.50","2,509.54","2,532.18","2,499.98","85.09M","0.89%"
