"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"11.10.2019","355.60","354.36","357.78","354.10","149.38M","0.67%"
"10.10.2019","353.25","350.12","353.83","349.74","243.17M","0.99%"
"09.10.2019","349.78","350.61","352.10","349.39","141.56M","-0.11%"
"08.10.2019","350.17","353.20","353.21","349.79","176.89M","-0.94%"
"07.10.2019","353.49","357.01","357.02","353.12","107.28M","-1.03%"
"04.10.2019","357.18","349.47","357.42","349.26","140.54M","2.24%"
"03.10.2019","349.37","347.41","349.84","346.82","102.46M","0.51%"
"02.10.2019","347.58","352.14","352.17","346.83","132.23M","-1.63%"
"01.10.2019","353.33","353.98","354.75","352.76","125.98M","-0.19%"
"30.09.2019","354.01","352.12","355.50","352.12","191.49M","0.37%"
"27.09.2019","352.70","354.09","354.09","351.87","110.06M","-0.27%"
"26.09.2019","353.64","354.07","355.40","352.44","157.57M","-0.04%"
"25.09.2019","353.78","354.46","354.46","350.11","194.89M","-0.19%"
"24.09.2019","354.47","357.61","357.97","354.21","158.84M","-0.89%"
"23.09.2019","357.64","357.13","357.81","356.84","110.91M","-0.13%"
"20.09.2019","358.09","354.33","358.96","353.80","856.08M","1.21%"
"19.09.2019","353.80","354.44","354.69","353.18","121.45M","-0.11%"
"18.09.2019","354.18","356.96","357.24","352.95","157.11M","-0.84%"
"17.09.2019","357.18","352.44","357.44","351.78","224.28M","1.30%"
"13.09.2019","352.61","351.62","353.69","351.27","111.10M","0.39%"
"12.09.2019","351.25","352.26","354.12","350.56","147.69M","-0.18%"
"11.09.2019","351.88","350.66","352.31","349.77","142.60M","0.39%"
"10.09.2019","350.50","350.65","352.64","349.21","159.74M","-0.16%"
"09.09.2019","351.07","352.23","355.59","350.20","113.20M","-0.10%"
"06.09.2019","351.43","352.57","354.02","350.56","133.00M","-0.01%"
"05.09.2019","351.45","349.54","351.75","349.52","168.33M","0.93%"
"04.09.2019","348.21","344.89","348.47","344.69","338.68M","1.22%"
"03.09.2019","344.01","347.22","347.22","343.25","239.52M","-0.67%"
"02.09.2019","346.32","350.37","350.37","345.42","46.73M","-1.16%"
"30.08.2019","350.38","345.25","350.76","344.44","346.71M","1.88%"
"29.08.2019","343.90","337.45","345.19","337.45","232.60M","2.14%"
"28.08.2019","336.71","334.37","337.58","333.78","178.97M","0.71%"
"27.08.2019","334.34","329.97","334.87","329.97","584.00M","1.39%"
