"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"11.10.2019","9,666.58","9,656.98","9,704.68","9,583.52","10.07B","0.30%"
"10.10.2019","9,638.10","9,504.03","9,643.52","9,480.17","9.78B","1.38%"
"09.10.2019","9,506.56","9,443.45","9,507.04","9,380.57","8.21B","0.34%"
"08.10.2019","9,474.75","9,474.57","9,556.96","9,468.74","8.62B","0.30%"
"30.09.2019","9,446.24","9,544.02","9,581.64","9,446.04","8.18B","-1.08%"
"27.09.2019","9,548.96","9,470.53","9,574.50","9,467.15","9.28B","0.89%"
"26.09.2019","9,464.84","9,698.28","9,707.92","9,464.84","12.06B","-2.13%"
"25.09.2019","9,671.06","9,768.38","9,768.38","9,656.05","12.23B","-1.43%"
"24.09.2019","9,811.38","9,783.39","9,896.18","9,761.03","12.59B","0.31%"
"23.09.2019","9,781.14","9,853.47","9,853.47","9,703.66","12.05B","-1.01%"
"20.09.2019","9,881.25","9,873.94","9,903.69","9,832.39","12.21B","0.29%"
"19.09.2019","9,852.20","9,786.40","9,852.20","9,733.97","11.26B","1.01%"
"18.09.2019","9,753.31","9,747.98","9,785.62","9,701.64","10.48B","0.31%"
"17.09.2019","9,722.80","9,890.58","9,890.58","9,684.15","13.46B","-1.97%"
"16.09.2019","9,918.09","9,952.33","9,962.15","9,877.11","12.96B","-0.02%"
"12.09.2019","9,919.80","9,886.25","9,941.17","9,837.27","11.97B","0.67%"
"11.09.2019","9,853.72","9,985.11","10,000.25","9,835.97","15.12B","-1.12%"
"10.09.2019","9,964.93","10,005.81","10,005.81","9,903.42","16.58B","-0.37%"
"09.09.2019","10,001.93","9,907.13","10,001.93","9,853.69","17.81B","1.82%"
"06.09.2019","9,823.42","9,829.97","9,837.23","9,742.27","14.41B","0.41%"
"05.09.2019","9,783.50","9,752.34","9,900.76","9,751.95","19.88B","0.86%"
"04.09.2019","9,700.32","9,612.62","9,700.32","9,590.98","14.97B","0.69%"
"03.09.2019","9,633.69","9,591.42","9,633.69","9,547.76","13.42B","0.67%"
"02.09.2019","9,569.47","9,393.03","9,586.52","9,389.48","13.09B","2.18%"
"30.08.2019","9,365.68","9,458.39","9,492.04","9,310.11","12.55B","-0.35%"
"29.08.2019","9,398.47","9,429.00","9,440.67","9,363.15","11.24B","-0.16%"
"28.08.2019","9,414.00","9,449.40","9,453.76","9,375.57","12.10B","-0.31%"
"27.08.2019","9,443.18","9,333.10","9,517.65","9,333.10","14.58B","1.86%"
"26.08.2019","9,270.39","9,181.71","9,298.10","9,173.01","11.71B","-0.98%"
"23.08.2019","9,362.55","9,357.00","9,397.76","9,311.26","11.21B","0.13%"
"22.08.2019","9,350.56","9,350.65","9,363.79","9,282.76","11.64B","0.30%"
"21.08.2019","9,322.75","9,304.52","9,361.74","9,287.31","11.28B","-0.06%"
"20.08.2019","9,328.73","9,340.66","9,389.39","9,301.92","13.55B","-0.00%"
"19.08.2019","9,328.97","9,165.80","9,328.97","9,141.89","14.72B","2.96%"
"16.08.2019","9,060.92","9,007.15","9,136.21","8,995.57","10.52B","0.57%"
"15.08.2019","9,009.68","8,779.53","9,011.77","8,758.04","9.90B","0.48%"
"14.08.2019","8,966.47","9,034.05","9,060.40","8,956.08","9.88B","0.72%"
"13.08.2019","8,902.63","8,910.15","8,960.02","8,869.46","7.53B","-0.85%"
