"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"10.10.2019","7,695.48","7,715.89","7,727.04","7,634.78","89.30M","-0.26%"
"09.10.2019","7,715.89","7,832.93","7,833.03","7,715.89","91.70M","-1.49%"
"08.10.2019","7,832.93","7,878.23","7,884.58","7,771.34","109.80M","-0.57%"
"07.10.2019","7,878.23","7,962.77","7,973.32","7,878.23","106.33M","-1.06%"
"06.10.2019","7,962.77","7,921.15","7,985.77","7,941.12","103.92M","0.53%"
"03.10.2019","7,921.15","7,984.43","7,957.37","7,903.09","111.62M","-0.79%"
"02.10.2019","7,984.43","8,052.71","8,056.33","7,964.95","116.90M","-0.85%"
"01.10.2019","8,052.71","8,091.76","8,128.37","8,052.71","121.90M","-0.48%"
"30.09.2019","8,091.76","8,055.26","8,111.61","8,059.91","135.00M","0.45%"
"29.09.2019","8,055.26","8,028.19","8,068.73","8,022.98","86.25M","0.34%"
"26.09.2019","8,028.19","8,030.29","8,060.03","8,010.28","100.49M","-0.03%"
"25.09.2019","8,030.29","8,069.55","8,073.26","7,994.92","129.77M","-0.49%"
"24.09.2019","8,069.55","7,954.14","8,073.25","7,948.93","109.72M","1.45%"
"22.09.2019","7,954.14","7,926.82","7,959.52","7,884.04","78.13M","0.34%"
"19.09.2019","7,926.82","7,821.23","7,926.82","7,769.18","260.85M","1.35%"
"18.09.2019","7,821.23","7,770.55","7,835.06","7,783.55","104.28M","0.65%"
"17.09.2019","7,770.55","7,827.17","7,834.09","7,713.89","107.87M","-0.72%"
"16.09.2019","7,827.17","7,749.46","7,835.22","7,720.15","121.06M","1.00%"
"15.09.2019","7,749.46","7,831.80","7,770.92","7,589.50","106.95M","-1.05%"
"12.09.2019","7,831.80","7,855.30","7,873.70","7,803.63","97.31M","-0.30%"
"11.09.2019","7,855.30","7,965.13","7,953.49","7,767.37","121.56M","-1.38%"
"10.09.2019","7,965.13","8,055.24","8,049.93","7,939.27","118.05M","-1.12%"
"09.09.2019","8,055.24","8,050.88","8,055.24","7,999.18","104.48M","0.05%"
"08.09.2019","8,050.88","8,054.75","8,099.63","8,040.52","110.92M","-0.05%"
"05.09.2019","8,054.75","8,058.39","8,122.08","8,010.35","146.05M","-0.05%"
"04.09.2019","8,058.39","7,924.18","8,058.39","7,929.17","137.37M","1.69%"
"03.09.2019","7,924.18","7,971.14","8,000.72","7,924.18","133.47M","-0.59%"
"02.09.2019","7,971.14","7,912.30","7,972.98","7,857.96","132.72M","0.74%"
"01.09.2019","7,912.30","8,019.77","8,032.77","7,893.45","93.70M","-1.34%"
"29.08.2019","8,019.77","8,171.17","8,193.19","8,013.69","146.93M","-1.85%"
"28.08.2019","8,171.17","8,285.54","8,268.78","8,149.13","167.14M","-1.38%"
"27.08.2019","8,285.54","8,257.86","8,320.96","8,086.91","766.04M","0.34%"
"26.08.2019","8,257.86","8,241.67","8,264.81","8,143.40","125.95M","0.20%"
"25.08.2019","8,241.67","8,445.66","8,410.60","8,233.49","99.55M","-2.42%"
"22.08.2019","8,445.66","8,508.93","8,530.40","8,371.29","202.65M","-0.74%"
